sep=,
,Alliander,Enexis,Stedin,Common
0,4x150Al_as50__VMvK_as,1389_VMvK_4x70mm2_Al,GPLKh_4x35_Cusvm_4x6,Link
1,4x150Cu__VMvK_as,1510_VMvKhas_4x16mm2_Cu___4x2p5mm2_Cu,GPLK_4x50_Cusvm,
2,4x16Cu_4x2p5Cu__VMvKh_as,1432_VMvKh_4x70mm2_Al___4x2p5mm2_Cu,GPLKh_4x16_Curm_4x2p5,
3,4x150Al__VG_VMvK,1235_GPLK_4x50mm2_Cu,Link,
4,4x10Cu__VO_YMvKas,1212_GPLK_4x35mm2_Cu,VO_YMvKhas_4x25_Cu_4x2p5,
5,4x10Cu_as10__VG_YMVK_asmb,1387_VMvK_4x50mm2_Al,YMvKh_4x16_Cu_2_x_1p5,
6,4x16Cu__VG_YMvKas,1471_VMvKas_4x6mm2_Cu,VO_YMvKhas_4x50_Cu_4x6,
7,3x50Cu_1x35Cu_2x10Cu_2x2p5__GPLKh,1016_V_VMvKhsas_4x50mm2_Al___4x2p5mm2_Cu,GPLKh_4x10_Curm_4x1,
8,4x6Cu_4x1Cu__GPLK,1416_VMvKh_4x16mm2_Al___2x1p5mm2_Cu,4x_50_VMvKh_Alk_4x2p5,
9,4x10Cu_as10__EO_YMEK_aszh,1368_VMvK_3x2p5mm2_Cu,VO_VMvKhas_4x50_Cu,
10,4x10Cu__VG_VMVK,1473_VMvKas_4x16mm2_Cu,GPLKh_4x6_Curm_4x2p5,
11,4x10Cu_re_as10__YCWY_mb,1232_GPLKh_4x35mm2_Cu___4x6mm2_Cu,GPLKh_4x95_Cusvm_4x2p5,
12,3x35Cu_1x25Cu_2x6Cu_2x1Cu__GPLKh,1237_GPLKh_4x50mm2_Cu___2x2p5mm2_Cu,Vulto_4x10_Cu,
13,4x6Cu__GPLK,1392_VMvK_4x120mm2_Al,4x_50_VGVMvKh_Alk_4x2p5,
14,4x16Cu_4x2p5Cu__GPLKh,1625_V_VMvKsas_4x16mm2_Cu,Vulto_4x6_Cu,
15,4x50Cu_4x6Cu__GPLKh,1311_VG_VMvKh_4x6mm2_Cu___2x1mm2_Cu,GPLKh_4x10_Curm_4x2p5,
16,4x50Al_2x2p5Cu__VG_VMvKh_as,1654_YMvK_4x6mm2_Cu,GPLKh_4x50_Cusvm_4x6,
17,4x16Cu__VG_VMvK_as,1394_VMvK_4x150mm2_Al,GPLKh_4x35_Cusvm_4x2p5,
18,4x50Cu_4x2p5Cu__VMvKh,1195_GPLK_4x25mm2_Cu,GPLK_4x95_Cusvm,
19,4x70Cu_4x2p5Cu__VMvKh,1379_VMvK_4x6mm2_Cu,4x1x240_Cu_YMvKmb_trefoil,
20,4x10Cu_4x1p5Cu__GPLKh,1257_GPLK_4x70mm2_Cu,VO_YMvKhas_4x50_Cu_4x2p5,
21,4x150Al_4x6Cu__VG_VMvKh,1010_VO_YMvKas_4x6mm2_Cu,VO_YMvKhas_4x6_Cu_4x2p5,
22,3x2p5Cu__VMVK_as,1444_VMvKh_4x150mm2_Al___4x2p5mm2_Cu,GPLK_4x16_Curm,
23,4x50Al_4x2p5Cu_VMvKh,1018_V_VMvKhsas_4x150mm2_Al___4x6mm2_Cu,4x_95_VMvKh_Alk_4x2p5,
24,3x35Cu_1x25Cu_2x10Cu_2x2p5__GPLKh,1730_YMvKhas_4x6mm2_Cu___2x1p5mm2_Cu,YMvKh_4x10_Cu_2_x_1p5,
25,4x10Cu_4x1Cu__GPLKh,1161_GPLKh_4x6mm2_Cu___2x1mm2_Cu,GPLKh_4x95_Cusvm_4x6,
26,5x16Cu__YMvK_mb,1109_GPLKh_3x35mm2_Cu___1x25mm2_Cu___2x2p5mm2,Vulta_4x16_Cu,
27,4x10Cu_4x2p5Cu__VMvKh,1428_VMvKh_4x50mm2_Al___4x2p5mm2_Cu,Vulta_4x50_Cusv,
28,4x50Cu_2x2p5Cu__VMvKh,1169_GPLK_4x10mm2_Cu,GPLK_4x10_Curm,
29,4x25Cu_2x6Cu_2x2p5Cu__GPLKh,1001_VG_YMvKas_4x16mm2_Cu,GPLK_4x35_Cusvm,
30,4x150Al__VGPLK,1772_YMvKhas_8x6mm2_Cu___8x2p5mm2_Cu,Vulto_4x2p5_Cu,
31,4x10Cu_4x2p5Cu__GPLKh,1438_VMvKh_4x95mm2_Al___4x2p5mm2_Cu,Vulto_4x4_Cu,
32,4x6Cu__VG_YMvKas,1729_YMvKhas_4x6mm2_Cu___1x1p5mm2_Cu,4x_50_VVMvKhsas_Alk_4x6,
33,4x6Cu_as6__VO_YMvK_asmb,1015_V_VMvKsas_4x150mm2_Al,4x150_VMvKh_Alk_4x2p5,
34,4x6Cu_4x2p5Cu__VG_VMvKh,1059_GPLK_2x6mm2_Cu,GPLKh_4x50_Cusvm_4x2p5,
